order_id,customer_id,order_date,status,month,day,country,signup_date,product_id,quantity,price,product_name,category,revenue
1,103,2024-10-31,Completed,October,Thursday,Italy,2023-03-22,13.0,4,58.0,Product_13,Skin,232.0
3,107,2024-05-23,Completed,May,Thursday,Italy,2024-01-05,18.0,1,25.0,Product_18,Makeup,25.0
3,107,2024-05-23,Completed,May,Thursday,Italy,2024-01-05,24.0,4,41.0,Product_24,Hair,164.0
3,107,2024-05-23,Completed,May,Thursday,Italy,2024-01-05,42.0,2,66.0,Product_42,Skin,132.0
3,107,2024-05-23,Completed,May,Thursday,Italy,2024-01-05,35.0,5,74.0,Product_35,Skin,370.0
4,72,2024-01-19,Completed,January,Friday,France,2023-10-30,30.0,1,41.0,Product_30,Hair,41.0
5,189,2024-01-18,Completed,January,Thursday,Germany,2023-06-03,47.0,4,75.0,Product_47,Hair,300.0
6,21,2024-09-13,Completed,September,Friday,France,2023-01-17,15.0,3,52.0,Product_15,Makeup,156.0
7,103,2024-03-18,Completed,March,Monday,Italy,2023-03-22,43.0,1,58.0,Product_43,Hair,58.0
7,103,2024-03-18,Completed,March,Monday,Italy,2023-03-22,16.0,3,98.0,Product_16,Makeup,294.0
8,122,2024-06-23,Cancelled,June,Sunday,Germany,2023-06-10,44.0,1,33.0,Product_44,Body,33.0
8,122,2024-06-23,Cancelled,June,Sunday,Germany,2023-06-10,30.0,3,62.0,Product_30,Hair,186.0
10,88,2024-04-22,Completed,April,Monday,Italy,2023-12-09,32.0,2,92.0,Product_32,Body,184.0
10,88,2024-04-22,Completed,April,Monday,Italy,2023-12-09,49.0,5,69.0,Product_49,Makeup,345.0
10,88,2024-04-22,Completed,April,Monday,Italy,2023-12-09,4.0,1,63.0,Product_4,Body,63.0
11,100,2024-04-23,Completed,April,Tuesday,Italy,2024-02-08,48.0,4,39.0,Product_48,Hair,156.0
11,100,2024-04-23,Completed,April,Tuesday,Italy,2024-02-08,6.0,5,81.0,Product_6,Body,405.0
12,152,2024-08-09,Completed,August,Friday,Morocco,2023-09-15,45.0,4,34.0,Product_45,Body,136.0
12,152,2024-08-09,Completed,August,Friday,Morocco,2023-09-15,28.0,2,20.0,Product_28,Hair,40.0
12,152,2024-08-09,Completed,August,Friday,Morocco,2023-09-15,14.0,1,71.0,Product_14,Body,71.0
13,131,2024-06-14,Completed,June,Friday,Spain,2024-04-08,8.0,2,75.0,Product_8,Body,150.0
13,131,2024-06-14,Completed,June,Friday,Spain,2024-04-08,28.0,1,45.0,Product_28,Hair,45.0
13,131,2024-06-14,Completed,June,Friday,Spain,2024-04-08,23.0,4,106.0,Product_23,Body,424.0
13,131,2024-06-14,Completed,June,Friday,Spain,2024-04-08,16.0,1,118.0,Product_16,Makeup,118.0
14,150,2024-11-14,Completed,November,Thursday,Morocco,2024-02-07,10.0,5,52.0,Product_10,Hair,260.0
14,150,2024-11-14,Completed,November,Thursday,Morocco,2024-02-07,22.0,4,35.0,Product_22,Makeup,140.0
15,258,2024-05-11,Completed,May,Saturday,Morocco,2023-10-06,13.0,3,67.0,Product_13,Skin,201.0
17,192,2024-02-24,Completed,February,Saturday,Italy,2023-08-10,41.0,2,58.0,Product_41,Skin,116.0
17,192,2024-02-24,Completed,February,Saturday,Italy,2023-08-10,48.0,3,111.0,Product_48,Hair,333.0
17,192,2024-02-24,Completed,February,Saturday,Italy,2023-08-10,35.0,2,31.0,Product_35,Skin,62.0
17,192,2024-02-24,Completed,February,Saturday,Italy,2023-08-10,35.0,5,40.0,Product_35,Skin,200.0
18,277,2024-12-24,Completed,December,Tuesday,Germany,2023-07-19,18.0,4,70.0,Product_18,Makeup,280.0
19,161,2024-05-10,Returned,May,Friday,Germany,2023-12-24,39.0,1,92.0,Product_39,Hair,92.0
19,161,2024-05-10,Returned,May,Friday,Germany,2023-12-24,2.0,2,111.0,Product_2,Skin,222.0
19,161,2024-05-10,Returned,May,Friday,Germany,2023-12-24,11.0,5,66.0,Product_11,Makeup,330.0
19,161,2024-05-10,Returned,May,Friday,Germany,2023-12-24,24.0,2,104.0,Product_24,Hair,208.0
20,22,2024-10-14,Completed,October,Monday,Italy,2023-08-04,48.0,1,94.0,Product_48,Hair,94.0
21,253,2024-09-22,Completed,September,Sunday,Morocco,2023-05-19,22.0,3,104.0,Product_22,Makeup,312.0
22,236,2024-06-10,Completed,June,Monday,Morocco,2023-01-02,25.0,4,119.0,Product_25,Hair,476.0
22,236,2024-06-10,Completed,June,Monday,Morocco,2023-01-02,4.0,5,75.0,Product_4,Body,375.0
22,236,2024-06-10,Completed,June,Monday,Morocco,2023-01-02,12.0,3,33.0,Product_12,Skin,99.0
22,236,2024-06-10,Completed,June,Monday,Morocco,2023-01-02,48.0,1,46.0,Product_48,Hair,46.0
23,49,2024-03-27,Completed,March,Wednesday,Spain,2024-01-28,45.0,2,76.0,Product_45,Body,152.0
23,49,2024-03-27,Completed,March,Wednesday,Spain,2024-01-28,33.0,1,116.0,Product_33,Hair,116.0
25,170,2024-10-14,Completed,October,Monday,Morocco,2023-09-07,8.0,2,92.0,Product_8,Body,184.0
25,170,2024-10-14,Completed,October,Monday,Morocco,2023-09-07,41.0,1,82.0,Product_41,Skin,82.0
25,170,2024-10-14,Completed,October,Monday,Morocco,2023-09-07,23.0,3,10.0,Product_23,Body,30.0
26,188,2024-06-26,Returned,June,Wednesday,Germany,2023-07-30,16.0,2,10.0,Product_16,Makeup,20.0
27,271,2024-12-14,Completed,December,Saturday,France,2023-08-29,17.0,1,109.0,Product_17,Hair,109.0
27,271,2024-12-14,Completed,December,Saturday,France,2023-08-29,45.0,3,82.0,Product_45,Body,246.0
28,190,2024-01-08,Completed,January,Monday,Spain,2023-10-20,48.0,4,119.0,Product_48,Hair,476.0
29,175,2024-11-16,Completed,November,Saturday,Italy,2023-01-24,47.0,2,96.0,Product_47,Hair,192.0
29,175,2024-11-16,Completed,November,Saturday,Italy,2023-01-24,34.0,3,16.0,Product_34,Hair,48.0
30,51,2024-11-08,Completed,November,Friday,Germany,2024-02-03,41.0,2,64.0,Product_41,Skin,128.0
31,55,2024-09-03,Completed,September,Tuesday,Italy,2024-05-04,3.0,1,94.0,Product_3,Hair,94.0
31,55,2024-09-03,Completed,September,Tuesday,Italy,2024-05-04,28.0,3,95.0,Product_28,Hair,285.0
31,55,2024-09-03,Completed,September,Tuesday,Italy,2024-05-04,19.0,1,20.0,Product_19,Makeup,20.0
32,244,2024-11-18,Completed,November,Monday,Italy,2023-07-15,32.0,5,41.0,Product_32,Body,205.0
32,244,2024-11-18,Completed,November,Monday,Italy,2023-07-15,10.0,3,74.0,Product_10,Hair,222.0
33,131,2024-09-11,Completed,September,Wednesday,Spain,2024-04-08,44.0,3,74.0,Product_44,Body,222.0
33,131,2024-09-11,Completed,September,Wednesday,Spain,2024-04-08,29.0,3,80.0,Product_29,Makeup,240.0
36,167,2024-09-05,Completed,September,Thursday,Morocco,2023-11-23,32.0,3,36.0,Product_32,Body,108.0
38,89,2024-08-16,Completed,August,Friday,Morocco,2024-03-04,4.0,1,112.0,Product_4,Body,112.0
38,89,2024-08-16,Completed,August,Friday,Morocco,2024-03-04,28.0,1,67.0,Product_28,Hair,67.0
38,89,2024-08-16,Completed,August,Friday,Morocco,2024-03-04,41.0,1,42.0,Product_41,Skin,42.0
39,14,2024-03-07,Completed,March,Thursday,Italy,2023-01-04,15.0,4,97.0,Product_15,Makeup,388.0
39,14,2024-03-07,Completed,March,Thursday,Italy,2023-01-04,43.0,5,115.0,Product_43,Hair,575.0
39,14,2024-03-07,Completed,March,Thursday,Italy,2023-01-04,34.0,5,28.0,Product_34,Hair,140.0
39,14,2024-03-07,Completed,March,Thursday,Italy,2023-01-04,46.0,3,73.0,Product_46,Makeup,219.0
40,242,2024-02-20,Completed,February,Tuesday,France,2023-12-02,36.0,3,52.0,Product_36,Skin,156.0
40,242,2024-02-20,Completed,February,Tuesday,France,2023-12-02,45.0,1,15.0,Product_45,Body,15.0
40,242,2024-02-20,Completed,February,Tuesday,France,2023-12-02,9.0,5,13.0,Product_9,Makeup,65.0
40,242,2024-02-20,Completed,February,Tuesday,France,2023-12-02,26.0,3,63.0,Product_26,Makeup,189.0
41,265,2024-04-06,Completed,April,Saturday,Italy,2023-03-29,16.0,1,119.0,Product_16,Makeup,119.0
41,265,2024-04-06,Completed,April,Saturday,Italy,2023-03-29,1.0,1,81.0,Product_1,Body,81.0
43,92,2024-09-20,Completed,September,Friday,Spain,2023-09-01,12.0,2,53.0,Product_12,Skin,106.0
43,92,2024-09-20,Completed,September,Friday,Spain,2023-09-01,27.0,2,108.0,Product_27,Makeup,216.0
43,92,2024-09-20,Completed,September,Friday,Spain,2023-09-01,4.0,1,12.0,Product_4,Body,12.0
44,264,2024-10-17,Completed,October,Thursday,France,2023-01-02,34.0,2,14.0,Product_34,Hair,28.0
44,264,2024-10-17,Completed,October,Thursday,France,2023-01-02,3.0,2,112.0,Product_3,Hair,224.0
44,264,2024-10-17,Completed,October,Thursday,France,2023-01-02,26.0,5,103.0,Product_26,Makeup,515.0
45,35,2024-04-05,Cancelled,April,Friday,Spain,2023-11-14,9.0,4,19.0,Product_9,Makeup,76.0
45,35,2024-04-05,Cancelled,April,Friday,Spain,2023-11-14,47.0,5,79.0,Product_47,Hair,395.0
45,35,2024-04-05,Cancelled,April,Friday,Spain,2023-11-14,43.0,1,10.0,Product_43,Hair,10.0
46,206,2024-03-28,Completed,March,Thursday,Spain,2023-12-28,35.0,5,108.0,Product_35,Skin,540.0
47,81,2024-03-18,Completed,March,Monday,Spain,2023-05-15,31.0,5,50.0,Product_31,Body,250.0
47,81,2024-03-18,Completed,March,Monday,Spain,2023-05-15,9.0,5,99.0,Product_9,Makeup,495.0
48,50,2024-10-14,Completed,October,Monday,France,2024-04-04,6.0,2,59.0,Product_6,Body,118.0
48,50,2024-10-14,Completed,October,Monday,France,2024-04-04,34.0,4,38.0,Product_34,Hair,152.0
49,2,2024-04-29,Completed,April,Monday,Italy,2023-02-10,31.0,2,31.0,Product_31,Body,62.0
